study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	experiment_title	study_title	run_alias	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy	sample_alias	broker_name	sample_title
PRJEB28687	SAMEA4970453	ERS2788667	ERX2843227	ERR2836376	9606	Homo sapiens	Illumina MiSeq	PAIRED	Illumina MiSeq paired end sequencing	U.S. immigration westernizes the human gut microbiome	ena-RUN-UNIVERSITY OF MINNESOTA-11-10-2018-17:17:11:447-11	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/006/ERR2836376/ERR2836376_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/006/ERR2836376/ERR2836376_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/006/ERR2836376/ERR2836376_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/006/ERR2836376/ERR2836376_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836376/CS.011.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836376/CS.011.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836376/CS.011.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836376/CS.011.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR283/006/ERR2836376	ftp.sra.ebi.ac.uk/vol1/err/ERR283/006/ERR2836376			CS.011		Immigrant Microbiome Project, 16s
PRJEB28687	SAMEA4970452	ERS2788666	ERX2843228	ERR2836377	9606	Homo sapiens	Illumina MiSeq	PAIRED	Illumina MiSeq paired end sequencing	U.S. immigration westernizes the human gut microbiome	ena-RUN-UNIVERSITY OF MINNESOTA-11-10-2018-17:17:11:447-12	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/007/ERR2836377/ERR2836377_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/007/ERR2836377/ERR2836377_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/007/ERR2836377/ERR2836377_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/007/ERR2836377/ERR2836377_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836377/CS.012.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836377/CS.012.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836377/CS.012.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836377/CS.012.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR283/007/ERR2836377	ftp.sra.ebi.ac.uk/vol1/err/ERR283/007/ERR2836377			CS.012		Immigrant Microbiome Project, 16s
PRJEB28687	SAMEA4970451	ERS2788665	ERX2843229	ERR2836378	9606	Homo sapiens	Illumina MiSeq	PAIRED	Illumina MiSeq paired end sequencing	U.S. immigration westernizes the human gut microbiome	ena-RUN-UNIVERSITY OF MINNESOTA-11-10-2018-17:17:11:447-13	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/008/ERR2836378/ERR2836378_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/008/ERR2836378/ERR2836378_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/008/ERR2836378/ERR2836378_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/008/ERR2836378/ERR2836378_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836378/CS.013.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836378/CS.013.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836378/CS.013.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836378/CS.013.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR283/008/ERR2836378	ftp.sra.ebi.ac.uk/vol1/err/ERR283/008/ERR2836378			CS.013		Immigrant Microbiome Project, 16s
PRJEB28687	SAMEA4970450	ERS2788664	ERX2843230	ERR2836379	9606	Homo sapiens	Illumina MiSeq	PAIRED	Illumina MiSeq paired end sequencing	U.S. immigration westernizes the human gut microbiome	ena-RUN-UNIVERSITY OF MINNESOTA-11-10-2018-17:17:11:447-14	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/009/ERR2836379/ERR2836379_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/009/ERR2836379/ERR2836379_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/009/ERR2836379/ERR2836379_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/009/ERR2836379/ERR2836379_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836379/CS.014.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836379/CS.014.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836379/CS.014.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836379/CS.014.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR283/009/ERR2836379	ftp.sra.ebi.ac.uk/vol1/err/ERR283/009/ERR2836379			CS.014		Immigrant Microbiome Project, 16s
PRJEB28687	SAMEA4970449	ERS2788663	ERX2843231	ERR2836380	9606	Homo sapiens	Illumina MiSeq	PAIRED	Illumina MiSeq paired end sequencing	U.S. immigration westernizes the human gut microbiome	ena-RUN-UNIVERSITY OF MINNESOTA-11-10-2018-17:17:11:447-15	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/000/ERR2836380/ERR2836380_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/000/ERR2836380/ERR2836380_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/000/ERR2836380/ERR2836380_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/000/ERR2836380/ERR2836380_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836380/CS.015.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836380/CS.015.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836380/CS.015.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836380/CS.015.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR283/000/ERR2836380	ftp.sra.ebi.ac.uk/vol1/err/ERR283/000/ERR2836380			CS.015		Immigrant Microbiome Project, 16s
PRJEB28687	SAMEA4970448	ERS2788662	ERX2843232	ERR2836381	9606	Homo sapiens	Illumina MiSeq	PAIRED	Illumina MiSeq paired end sequencing	U.S. immigration westernizes the human gut microbiome	ena-RUN-UNIVERSITY OF MINNESOTA-11-10-2018-17:17:11:447-16	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/001/ERR2836381/ERR2836381_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/001/ERR2836381/ERR2836381_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/001/ERR2836381/ERR2836381_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/001/ERR2836381/ERR2836381_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836381/CS.016.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836381/CS.016.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836381/CS.016.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836381/CS.016.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR283/001/ERR2836381	ftp.sra.ebi.ac.uk/vol1/err/ERR283/001/ERR2836381			CS.016		Immigrant Microbiome Project, 16s
PRJEB28687	SAMEA4970447	ERS2788661	ERX2843233	ERR2836382	9606	Homo sapiens	Illumina MiSeq	PAIRED	Illumina MiSeq paired end sequencing	U.S. immigration westernizes the human gut microbiome	ena-RUN-UNIVERSITY OF MINNESOTA-11-10-2018-17:17:11:447-17	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/002/ERR2836382/ERR2836382_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/002/ERR2836382/ERR2836382_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/002/ERR2836382/ERR2836382_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/002/ERR2836382/ERR2836382_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836382/CS.017.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836382/CS.017.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836382/CS.017.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836382/CS.017.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR283/002/ERR2836382	ftp.sra.ebi.ac.uk/vol1/err/ERR283/002/ERR2836382			CS.017		Immigrant Microbiome Project, 16s
PRJEB28687	SAMEA4970446	ERS2788660	ERX2843234	ERR2836383	9606	Homo sapiens	Illumina MiSeq	PAIRED	Illumina MiSeq paired end sequencing	U.S. immigration westernizes the human gut microbiome	ena-RUN-UNIVERSITY OF MINNESOTA-11-10-2018-17:17:11:447-18	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/003/ERR2836383/ERR2836383_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/003/ERR2836383/ERR2836383_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/003/ERR2836383/ERR2836383_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/003/ERR2836383/ERR2836383_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836383/CS.018.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836383/CS.018.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836383/CS.018.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836383/CS.018.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR283/003/ERR2836383	ftp.sra.ebi.ac.uk/vol1/err/ERR283/003/ERR2836383			CS.018		Immigrant Microbiome Project, 16s
PRJEB28687	SAMEA4970445	ERS2788659	ERX2843235	ERR2836384	9606	Homo sapiens	Illumina MiSeq	PAIRED	Illumina MiSeq paired end sequencing	U.S. immigration westernizes the human gut microbiome	ena-RUN-UNIVERSITY OF MINNESOTA-11-10-2018-17:17:11:447-19	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/004/ERR2836384/ERR2836384_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/004/ERR2836384/ERR2836384_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/004/ERR2836384/ERR2836384_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/004/ERR2836384/ERR2836384_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836384/CS.019.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836384/CS.019.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836384/CS.019.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836384/CS.019.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR283/004/ERR2836384	ftp.sra.ebi.ac.uk/vol1/err/ERR283/004/ERR2836384			CS.019		Immigrant Microbiome Project, 16s
PRJEB28687	SAMEA4970444	ERS2788658	ERX2843236	ERR2836385	9606	Homo sapiens	Illumina MiSeq	PAIRED	Illumina MiSeq paired end sequencing	U.S. immigration westernizes the human gut microbiome	ena-RUN-UNIVERSITY OF MINNESOTA-11-10-2018-17:17:11:447-20	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/005/ERR2836385/ERR2836385_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/005/ERR2836385/ERR2836385_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/005/ERR2836385/ERR2836385_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR283/005/ERR2836385/ERR2836385_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836385/CS.020.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836385/CS.020.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836385/CS.020.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR283/ERR2836385/CS.020.R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR283/005/ERR2836385	ftp.sra.ebi.ac.uk/vol1/err/ERR283/005/ERR2836385			CS.020		Immigrant Microbiome Project, 16s
